,Unnamed: 0,lat,lon,City,Operator,Count,Date
0,0,38.81855061808057,-77.08628268042793,"Alexandria, VA",Bird,324,2021-05-17
1,1,41.829070324996536,-87.67723705371576,"Chicago, IL",Bird,606,2021-05-17
2,2,41.516952378356095,-81.64088431646648,"Cleveland, OH",Bird,38,2021-05-17
3,3,39.98705772441574,-83.01858862572395,"Columbus, OH",Bird,73,2021-05-17
4,4,34.057227936100176,-118.37987622954365,"Culver City, CA",Bird,75,2021-05-17
5,5,42.383947866272365,-83.10149890559578,"Detroit, MI",Bird,57,2021-05-17
6,6,38.84982456105002,-77.30280633404524,"Fairfax, VA",Bird,36,2021-05-17
7,7,39.798346644719565,-86.1628642961558,"Indianapolis,IN",Bird,224,2021-05-17
8,8,39.038218229503066,-94.55037514941704,"Kansas City, MO",Bird,224,2021-05-17
9,9,34.057227936100176,-118.37987622954365,"Los Angeles, CA",Bird,75,2021-05-17
10,10,38.15621886069139,-85.47252617649845,"Louisville, KY",Bird,10,2021-05-17
11,11,45.52315343022835,-122.61941138754543,"Portland, OR",Bird,91,2021-05-17
12,12,37.751113716693474,-122.43543790530309,"San Francisco, CA",Bird,7,2021-05-17
13,13,33.419670603264606,-111.82249392604629,"Tempe, AZ",Bird,164,2021-05-17
14,14,38.90766956847982,-77.01540052750417,"Washington, DC",Bird,26,2021-05-17
0,0,38.879969700000004,-77.1067698,"Arlington, VA",Lime,304,2021-05-17
1,1,39.2903848,-76.6121893,"Baltimore, MD",Lime,492,2021-05-17
6,6,40.7127753,-74.0059728,"New York, NY",Lime,367,2021-05-17
8,8,45.5051064,-122.6750261,"Portland, OR",Lime,564,2021-05-17
10,10,37.7749295,-122.4194155,"San Francisco, CA",Lime,1128,2021-05-17
2,2,38.804835499999996,-77.0469214,"Alexandria, VA",Lime,4,2021-05-17
3,3,42.2808256,-83.7430378,"Ann Arbor, MI",Lime,50,2021-05-17
7,7,33.7489954,-84.3879824,"Atlanta, GA",Lime,771,2021-05-17
9,9,39.2903848,-76.6121893,"Baltimore, MD",Lime,1052,2021-05-17
10,10,43.6150186,-116.2023137,"Boise, ID",Lime,158,2021-05-17
12,12,35.2270869,-80.8431267,"Charlotte,NC",Lime,237,2021-05-17
14,14,41.499320000000004,-81.6943605,"Cleveland, OH",Lime,321,2021-05-17
15,15,39.9611755,-82.99879419999998,"Columbus, OH",Lime,494,2021-05-17
16,16,25.7491968,-80.2635411,"Coral Gables, FL",Lime,89,2021-05-17
17,17,39.758947799999994,-84.1916069,"Dayton, OH",Lime,208,2021-05-17
19,19,42.331427000000005,-83.0457538,"Detroit, MI",Lime,221,2021-05-17
21,21,35.99403289999999,-78.898619,"Durham, NC",Lime,162,2021-05-17
22,22,34.923643799999994,-117.93744,"Edwards, CA",Lime,32,2021-05-17
23,23,36.0662419,-94.157853,"Fayetteville, AR",Lime,466,2021-05-17
25,25,42.9633599,-85.6680863,"Grand Rapids, MI",Lime,421,2021-05-17
28,28,30.3321838,-81.65565099999998,"Jacksonville, FL",Lime,68,2021-05-17
30,30,39.0997265,-94.5785667,"Kansas City, MO",Lime,519,2021-05-17
33,33,40.813615999999996,-96.7025955,"Lincoln, NB",Lime,202,2021-05-17
35,35,34.0522342,-118.24368490000002,"Los Angeles, CA",Lime,372,2021-05-17
37,37,35.1495343,-90.0489801,"Memphis, TN",Lime,287,2021-05-17
42,42,36.1626638,-86.78160159999999,"Nashville, TN",Lime,229,2021-05-17
43,43,37.804351399999994,-122.27116389999999,"Oakland, CA",Lime,223,2021-05-17
44,44,42.680588,-83.1338214,"Rochester, MI",Lime,37,2021-05-17
45,45,39.9611755,-82.99879419999998,"Columbus, OH",Lime,157,2021-05-17
48,48,28.5383355,-81.3792365,"Orlando, FL",Lime,289,2021-05-17
49,49,33.4483771,-112.07403729999999,"Phoenix, AZ",Lime,144,2021-05-17
50,50,45.5051064,-122.6750261,"Portland, OR",Lime,684,2021-05-17
51,51,41.8239891,-71.4128343,"Providence, RI",Lime,446,2021-05-17
53,53,40.4258686,-86.90806549999998,"West Lafayette, IN",Lime,338,2021-05-17
54,54,38.5815719,-121.49439960000001,"Sacramento, CA",Lime,769,2021-05-17
56,56,40.760779299999996,-111.89104740000002,"Salt Lake City, UT",Lime,132,2021-05-17
58,58,32.715738,-117.1610838,"San Diego, CA",Lime,439,2021-05-17
59,59,37.7749295,-122.4194155,"San Francisco, CA",Lime,1174,2021-05-17
60,60,37.338208200000004,-121.88632859999998,"San Jose, CA",Lime,1,2021-05-17
61,61,29.8832749,-97.9413941,"San Marcos, TX",Lime,221,2021-05-17
64,64,37.0965278,-113.5684164,"St George, UT",Lime,99,2021-05-17
65,65,36.1156071,-97.0583681,"Stillwater, OK",Lime,204,2021-05-17
67,67,30.4382559,-84.28073289999998,"Tallahassee, FL",Lime,424,2021-05-17
68,68,27.950575,-82.4571776,"Tampa, FL",Lime,493,2021-05-17
69,69,33.4255104,-111.9400054,"Tempe, AZ",Lime,59,2021-05-17
72,72,32.715738,-117.1610838,"San Diego, CA",Lime,269,2021-05-17
73,73,28.5383355,-81.3792365,"Orlando, FL",Lime,141,2021-05-17
76,76,38.9071923,-77.03687070000001,"Washington, DC",Lime,1708,2021-05-17
77,77,38.5804609,-121.53023400000001,"West Sacramento, CA",Lime,60,2021-05-17
78,78,47.5085671,-122.35511640000001,"White Center, WA",Lime,25,2021-05-17
80,80,36.09985959999999,-80.24421600000001,"Winston Salem, NC",Lime,227,2021-05-17
