,Unnamed: 0,lat,lon,City,Operator,Count,Date
0,0,38.81855061808057,-77.08628268042793,"Alexandria, VA",Bird,324,2021-05-17
1,1,41.829070324996536,-87.67723705371576,"Chicago, IL",Bird,606,2021-05-17
2,2,41.516952378356095,-81.64088431646648,"Cleveland, OH",Bird,38,2021-05-17
3,3,39.98705772441574,-83.01858862572395,"Columbus, OH",Bird,73,2021-05-17
4,4,34.057227936100176,-118.37987622954365,"Culver City, CA",Bird,75,2021-05-17
5,5,42.383947866272365,-83.10149890559578,"Detroit, MI",Bird,57,2021-05-17
6,6,38.84982456105002,-77.30280633404524,"Fairfax, VA",Bird,36,2021-05-17
7,7,39.798346644719565,-86.1628642961558,"Indianapolis,IN",Bird,224,2021-05-17
8,8,39.038218229503066,-94.55037514941704,"Kansas City, MO",Bird,224,2021-05-17
9,9,34.057227936100176,-118.37987622954365,"Los Angeles, CA",Bird,75,2021-05-17
10,10,38.15621886069139,-85.47252617649845,"Louisville, KY",Bird,10,2021-05-17
11,11,45.52315343022835,-122.61941138754543,"Portland, OR",Bird,91,2021-05-17
12,12,37.751113716693474,-122.43543790530309,"San Francisco, CA",Bird,7,2021-05-17
13,13,33.419670603264606,-111.82249392604629,"Tempe, AZ",Bird,164,2021-05-17
14,14,38.90766956847982,-77.01540052750417,"Washington, DC",Bird,26,2021-05-17
0,0,38.879969700000004,-77.1067698,"Arlington, VA",Lime,304,2021-05-17
1,1,39.2903848,-76.6121893,"Baltimore, MD",Lime,492,2021-05-17
6,6,40.7127753,-74.0059728,"New York, NY",Lime,367,2021-05-17
8,8,45.5051064,-122.6750261,"Portland, OR",Lime,564,2021-05-17
10,10,37.7749295,-122.4194155,"San Francisco, CA",Lime,1128,2021-05-17
2,2,38.804835499999996,-77.0469214,"Alexandria, VA",Spin,4,5/17/2021
3,3,42.2808256,-83.7430378,"Ann Arbor, MI",Spin,50,5/17/2021
7,7,33.7489954,-84.3879824,"Atlanta, GA",Spin,771,5/17/2021
9,9,39.2903848,-76.6121893,"Baltimore, MD",Spin,1052,5/17/2021
10,10,43.6150186,-116.2023137,"Boise, ID",Spin,158,5/17/2021
12,12,35.2270869,-80.8431267,"Charlotte,NC",Spin,237,5/17/2021
14,14,41.499320000000004,-81.6943605,"Cleveland, OH",Spin,321,5/17/2021
15,15,39.9611755,-82.9987942,"Columbus, OH",Spin,494,5/17/2021
16,16,25.7491968,-80.2635411,"Coral Gables, FL",Spin,89,5/17/2021
17,17,39.758947799999994,-84.1916069,"Dayton, OH",Spin,208,5/17/2021
19,19,42.331427000000005,-83.0457538,"Detroit, MI",Spin,221,5/17/2021
21,21,35.99403289999999,-78.898619,"Durham, NC",Spin,162,5/17/2021
22,22,34.923643799999994,-117.93744,"Edwards, CA",Spin,32,5/17/2021
23,23,36.0662419,-94.157853,"Fayetteville, AR",Spin,466,5/17/2021
25,25,42.9633599,-85.6680863,"Grand Rapids, MI",Spin,421,5/17/2021
28,28,30.3321838,-81.655651,"Jacksonville, FL",Spin,68,5/17/2021
30,30,39.0997265,-94.5785667,"Kansas City, MO",Spin,519,5/17/2021
33,33,40.813615999999996,-96.7025955,"Lincoln, NB",Spin,202,5/17/2021
35,35,34.0522342,-118.24368490000002,"Los Angeles, CA",Spin,372,5/17/2021
37,37,35.1495343,-90.0489801,"Memphis, TN",Spin,287,5/17/2021
42,42,36.1626638,-86.78160159999999,"Nashville, TN",Spin,229,5/17/2021
43,43,37.804351399999994,-122.27116389999999,"Oakland, CA",Spin,223,5/17/2021
44,44,42.680588,-83.1338214,"Rochester, MI",Spin,37,5/17/2021
45,45,39.9611755,-82.9987942,"Columbus, OH",Spin,157,5/17/2021
48,48,28.5383355,-81.3792365,"Orlando, FL",Spin,289,5/17/2021
49,49,33.4483771,-112.07403729999999,"Phoenix, AZ",Spin,144,5/17/2021
50,50,45.5051064,-122.6750261,"Portland, OR",Spin,684,5/17/2021
51,51,41.8239891,-71.4128343,"Providence, RI",Spin,446,5/17/2021
53,53,40.4258686,-86.9080655,"West Lafayette, IN",Spin,338,5/17/2021
54,54,38.5815719,-121.49439960000001,"Sacramento, CA",Spin,769,5/17/2021
56,56,40.760779299999996,-111.89104740000002,"Salt Lake City, UT",Spin,132,5/17/2021
58,58,32.715738,-117.1610838,"San Diego, CA",Spin,439,5/17/2021
59,59,37.7749295,-122.4194155,"San Francisco, CA",Spin,1174,5/17/2021
60,60,37.338208200000004,-121.88632859999998,"San Jose, CA",Spin,1,5/17/2021
61,61,29.8832749,-97.9413941,"San Marcos, TX",Spin,221,5/17/2021
64,64,37.0965278,-113.5684164,"St George, UT",Spin,99,5/17/2021
65,65,36.1156071,-97.0583681,"Stillwater, OK",Spin,204,5/17/2021
67,67,30.4382559,-84.2807329,"Tallahassee, FL",Spin,424,5/17/2021
68,68,27.950575,-82.4571776,"Tampa, FL",Spin,493,5/17/2021
69,69,33.4255104,-111.9400054,"Tempe, AZ",Spin,59,5/17/2021
72,72,32.715738,-117.1610838,"San Diego, CA",Spin,269,5/17/2021
73,73,28.5383355,-81.3792365,"Orlando, FL",Spin,141,5/17/2021
76,76,38.9071923,-77.03687070000001,"Washington, DC",Spin,1708,5/17/2021
77,77,38.5804609,-121.53023400000001,"West Sacramento, CA",Spin,60,5/17/2021
78,78,47.5085671,-122.35511640000001,"White Center, WA",Spin,25,5/17/2021
80,80,36.0998596,-80.24421600000001,"Winston Salem, NC",Spin,227,5/17/2021
