,City,Count,lat,lon,Operator,Date
0,"Alexandria, VA",140,38.8048355,-77.0469214,Lime,2021-05-17
1,"Chicago, IL",45,41.8781136,-87.6297982,Lime,2021-05-17
2,"Cleveland, OH",315,41.49932,-81.6943605,Lime,2021-05-17
3,"Columbus, OH",229,39.9611755,-82.99879419999999,Lime,2021-05-17
4,"Culver City, CA",26,34.0211224,-118.3964665,Lime,2021-05-17
5,"Detroit, MI",315,42.331427,-83.0457538,Lime,2021-05-17
6,"Fairfax, VA",56,38.84622359999999,-77.30637329999999,Lime,2021-05-17
7,"Indianapolis,IN",945,39.768403,-86.158068,Lime,2021-05-17
8,"Kansas City, MO",791,39.0997265,-94.5785667,Lime,2021-05-17
9,"Los Angeles, CA",3263,34.0522342,-118.2436849,Lime,2021-05-17
10,"Louisville, KY",448,38.2526647,-85.7584557,Lime,2021-05-17
11,"Portland, OR",189,45.5051064,-122.6750261,Lime,2021-05-17
12,"San Francisco, CA",1426,37.7749295,-122.4194155,Lime,2021-05-17
13,"Tempe, AZ",489,33.4255104,-111.9400054,Lime,2021-05-17
14,"Washington, DC",685,38.9071923,-77.0368707,Lime,2021-05-17
