,Lat,Lon,City,Operator,Date
0,38.8642,-77.0411,"Arlington, VA",Lime,2021-05-17
1,38.8673,-77.0452,"Arlington, VA",Lime,2021-05-17
2,38.8538,-77.0458,"Arlington, VA",Lime,2021-05-17
3,38.8538,-77.0459,"Arlington, VA",Lime,2021-05-17
4,38.8481,-77.0468,"Arlington, VA",Lime,2021-05-17
5,38.8697,-77.0473,"Arlington, VA",Lime,2021-05-17
6,38.8523,-77.0526,"Arlington, VA",Lime,2021-05-17
7,38.845,-77.0487,"Arlington, VA",Lime,2021-05-17
8,38.854,-77.049,"Arlington, VA",Lime,2021-05-17
9,38.8599,-77.0492,"Arlington, VA",Lime,2021-05-17
10,38.8602,-77.0493,"Arlington, VA",Lime,2021-05-17
11,38.8559,-77.0493,"Arlington, VA",Lime,2021-05-17
12,38.8595,-77.0495,"Arlington, VA",Lime,2021-05-17
13,38.8529,-77.0497,"Arlington, VA",Lime,2021-05-17
14,38.8558,-77.0497,"Arlington, VA",Lime,2021-05-17
15,38.851,-77.0498,"Arlington, VA",Lime,2021-05-17
16,38.86,-77.0498,"Arlington, VA",Lime,2021-05-17
17,38.8532,-77.0498,"Arlington, VA",Lime,2021-05-17
18,38.8661,-77.0499,"Arlington, VA",Lime,2021-05-17
19,38.8513,-77.0502,"Arlington, VA",Lime,2021-05-17
20,38.843,-77.0503,"Arlington, VA",Lime,2021-05-17
21,38.8435,-77.0504,"Arlington, VA",Lime,2021-05-17
22,38.8449,-77.0504,"Arlington, VA",Lime,2021-05-17
23,38.8436,-77.0504,"Arlington, VA",Lime,2021-05-17
24,38.8541,-77.0505,"Arlington, VA",Lime,2021-05-17
25,38.8542,-77.0505,"Arlington, VA",Lime,2021-05-17
26,38.8438,-77.0505,"Arlington, VA",Lime,2021-05-17
27,38.8582,-77.0505,"Arlington, VA",Lime,2021-05-17
28,38.8437,-77.0506,"Arlington, VA",Lime,2021-05-17
29,38.8582,-77.0506,"Arlington, VA",Lime,2021-05-17
30,38.848,-77.0506,"Arlington, VA",Lime,2021-05-17
31,38.8605,-77.0509,"Arlington, VA",Lime,2021-05-17
32,38.848,-77.0509,"Arlington, VA",Lime,2021-05-17
33,38.8566,-77.0509,"Arlington, VA",Lime,2021-05-17
34,38.8483,-77.0511,"Arlington, VA",Lime,2021-05-17
35,38.8571,-77.0512,"Arlington, VA",Lime,2021-05-17
36,38.8568,-77.0512,"Arlington, VA",Lime,2021-05-17
37,38.8423,-77.0513,"Arlington, VA",Lime,2021-05-17
38,38.8623,-77.0514,"Arlington, VA",Lime,2021-05-17
39,38.8518,-77.0517,"Arlington, VA",Lime,2021-05-17
40,38.8518,-77.0517,"Arlington, VA",Lime,2021-05-17
41,38.8539,-77.0517,"Arlington, VA",Lime,2021-05-17
