,City,Count,lat,lon,Operator,Date
0,"Arlington, VA",304,38.8799697,-77.1067698,Lime,2021-05-17
1,"Baltimore, MD",492,39.2903848,-76.6121893,Lime,2021-05-17
2,"Chicago, IL",0,41.8781136,-87.6297982,Lime,2021-05-17
3,"Cleveland, OH",0,41.49932,-81.6943605,Lime,2021-05-17
4,"Detroit, MI",0,42.331427,-83.0457538,Lime,2021-05-17
5,"Louisville, KY",0,38.2526647,-85.7584557,Lime,2021-05-17
6,"New York, NY",367,40.7127753,-74.0059728,Lime,2021-05-17
7,"Oakland, CA",0,37.8043514,-122.2711639,Lime,2021-05-17
8,"Portland, OR",564,45.5051064,-122.6750261,Lime,2021-05-17
9,"Providence, RI",0,41.8239891,-71.4128343,Lime,2021-05-17
10,"San Francisco, CA",1128,37.7749295,-122.4194155,Lime,2021-05-17
11,"Seattle, WA",0,47.6062095,-122.3320708,Lime,2021-05-17
12,"Washington, DC",0,38.9071923,-77.0368707,Lime,2021-05-17
