,City,Count,lat,lon,Operator,Date
0,"Aiken, SC",0,33.5604168,-81.7195533,Spin,5/17/2021
1,"Albuquerque, NM",0,35.0843859,-106.650422,Spin,5/17/2021
2,"Alexandria, VA",4,38.8048355,-77.0469214,Spin,5/17/2021
3,"Ann Arbor, MI",50,42.2808256,-83.7430378,Spin,5/17/2021
4,"Arkadelphia, VA",0,34.1185707,-93.0527097,Spin,5/17/2021
5,"Arlington, VA",0,38.8799697,-77.1067698,Spin,5/17/2021
6,"Asbury Park, NY",0,40.2203907,-74.0120817,Spin,5/17/2021
7,"Atlanta, GA",771,33.7489954,-84.3879824,Spin,5/17/2021
8,"Austin, TX",0,30.267153,-97.7430608,Spin,5/17/2021
9,"Baltimore, MD",1052,39.2903848,-76.6121893,Spin,5/17/2021
10,"Boise, ID",158,43.6150186,-116.2023137,Spin,5/17/2021
11,"Brookline, MA",0,42.3317642,-71.1211635,Spin,5/17/2021
12,"Charlotte,NC",237,35.2270869,-80.8431267,Spin,5/17/2021
13,"Chicago, IL",0,41.8781136,-87.6297982,Spin,5/17/2021
14,"Cleveland, OH",321,41.49932,-81.6943605,Spin,5/17/2021
15,"Columbus, OH",494,39.9611755,-82.9987942,Spin,5/17/2021
16,"Coral Gables, FL",89,25.7491968,-80.2635411,Spin,5/17/2021
17,"Dayton, OH",208,39.7589478,-84.1916069,Spin,5/17/2021
18,"Denver, CO",0,39.7392358,-104.990251,Spin,5/17/2021
19,"Detroit, MI",221,42.331427,-83.0457538,Spin,5/17/2021
20,Durham NS,0,45.61882,-62.810447,Spin,5/17/2021
21,"Durham, NC",162,35.9940329,-78.898619,Spin,5/17/2021
22,"Edwards, CA",32,34.9236438,-117.93744,Spin,5/17/2021
23,"Fayetteville, AR",466,36.0662419,-94.157853,Spin,5/17/2021
24,"Fort Pierce, FL",0,27.4467056,-80.3256056,Spin,5/17/2021
25,"Grand Rapids, MI",421,42.9633599,-85.6680863,Spin,5/17/2021
26,"Greenville, SC",0,34.8526176,-82.3940104,Spin,5/17/2021
27,"Isla Vista, CA",0,34.4133292,-119.8609718,Spin,5/17/2021
28,"Jacksonville, FL",68,30.3321838,-81.655651,Spin,5/17/2021
29,"Jefferson City, MO",0,38.5767017,-92.1735164,Spin,5/17/2021
30,"Kansas City, MO",519,39.0997265,-94.5785667,Spin,5/17/2021
31,"Knoxville, TN",0,35.9606384,-83.9207392,Spin,5/17/2021
32,"Lexington, KY",0,38.0405837,-84.5037164,Spin,5/17/2021
33,"Lincoln, NB",202,40.813616,-96.7025955,Spin,5/17/2021
34,"Long Beach, CA",0,33.7700504,-118.1937395,Spin,5/17/2021
35,"Los Angeles, CA",372,34.0522342,-118.2436849,Spin,5/17/2021
36,"Louisville, KY",0,38.2526647,-85.7584557,Spin,5/17/2021
37,"Memphis, TN",287,35.1495343,-90.0489801,Spin,5/17/2021
38,"Mesa, AZ",0,33.4151843,-111.8314724,Spin,5/17/2021
39,"Milwaukee, WI",0,43.0389025,-87.9064736,Spin,5/17/2021
40,"Minneapolis, MN",0,44.977753,-93.2650108,Spin,5/17/2021
41,"Mongomery County, MD",0,39.1547426,-77.2405153,Spin,5/17/2021
42,"Nashville, TN",229,36.1626638,-86.7816016,Spin,5/17/2021
43,"Oakland, CA",223,37.8043514,-122.2711639,Spin,5/17/2021
44,"Rochester, MI",37,42.680588,-83.1338214,Spin,5/17/2021
45,"Columbus, OH",157,39.9611755,-82.9987942,Spin,5/17/2021
46,"Omaha, NB",0,41.2565369,-95.9345034,Spin,5/17/2021
