,Lat,Lon,City,Operator,Date
0,38.83409,-77.10892,"Alexandria, VA",Spin,2021-05-17
1,38.83315,-77.08517,"Alexandria, VA",Spin,2021-05-17
2,38.83407,-77.10894,"Alexandria, VA",Spin,2021-05-17
3,38.83256,-77.05068,"Alexandria, VA",Spin,2021-05-17
4,42.25731,-83.71387,"Ann Arbor, MI",Spin,2021-05-17
5,42.30978,-83.71729,"Ann Arbor, MI",Spin,2021-05-17
6,42.24121,-83.75605,"Ann Arbor, MI",Spin,2021-05-17
7,42.25063,-83.74781,"Ann Arbor, MI",Spin,2021-05-17
8,42.28506,-83.7296,"Ann Arbor, MI",Spin,2021-05-17
9,42.29028,-83.73369,"Ann Arbor, MI",Spin,2021-05-17
10,42.25753,-83.73603,"Ann Arbor, MI",Spin,2021-05-17
11,42.25699,-83.73495,"Ann Arbor, MI",Spin,2021-05-17
12,42.24403,-83.75689,"Ann Arbor, MI",Spin,2021-05-17
13,42.29476,-83.73643,"Ann Arbor, MI",Spin,2021-05-17
14,42.2584,-83.75029,"Ann Arbor, MI",Spin,2021-05-17
15,42.25646,-83.76651,"Ann Arbor, MI",Spin,2021-05-17
16,42.28499,-83.71533,"Ann Arbor, MI",Spin,2021-05-17
17,42.26909,-83.7865,"Ann Arbor, MI",Spin,2021-05-17
18,42.25281,-83.6811,"Ann Arbor, MI",Spin,2021-05-17
19,42.28686,-83.71853,"Ann Arbor, MI",Spin,2021-05-17
20,42.28076,-83.76113,"Ann Arbor, MI",Spin,2021-05-17
21,42.27384,-83.7792,"Ann Arbor, MI",Spin,2021-05-17
22,42.24659,-83.75267,"Ann Arbor, MI",Spin,2021-05-17
23,42.25137,-83.70957,"Ann Arbor, MI",Spin,2021-05-17
24,42.24428,-83.7451,"Ann Arbor, MI",Spin,2021-05-17
25,42.25138,-83.70954,"Ann Arbor, MI",Spin,2021-05-17
26,42.25138,-83.70951,"Ann Arbor, MI",Spin,2021-05-17
27,42.23994,-83.75423,"Ann Arbor, MI",Spin,2021-05-17
28,42.26737,-83.77719,"Ann Arbor, MI",Spin,2021-05-17
29,42.23843,-83.74079,"Ann Arbor, MI",Spin,2021-05-17
30,42.28268,-83.74937,"Ann Arbor, MI",Spin,2021-05-17
31,42.27638,-83.72753,"Ann Arbor, MI",Spin,2021-05-17
32,42.28506,-83.75633,"Ann Arbor, MI",Spin,2021-05-17
33,42.25685,-83.73486,"Ann Arbor, MI",Spin,2021-05-17
34,42.24105,-83.75562,"Ann Arbor, MI",Spin,2021-05-17
35,42.26483,-83.74032,"Ann Arbor, MI",Spin,2021-05-17
36,42.24296,-83.76476,"Ann Arbor, MI",Spin,2021-05-17
37,42.28933,-83.75464,"Ann Arbor, MI",Spin,2021-05-17
38,42.27639,-83.74512,"Ann Arbor, MI",Spin,2021-05-17
39,42.29832,-83.76592,"Ann Arbor, MI",Spin,2021-05-17
40,42.29881,-83.75532,"Ann Arbor, MI",Spin,2021-05-17
41,42.24107,-83.75561,"Ann Arbor, MI",Spin,2021-05-17
42,42.23889,-83.70129,"Ann Arbor, MI",Spin,2021-05-17
43,42.2622,-83.77973,"Ann Arbor, MI",Spin,2021-05-17
44,33.757637,-84.35369,"Atlanta, GA",Spin,2021-05-17
45,33.781842,-84.372552,"Atlanta, GA",Spin,2021-05-17
46,33.765383,-84.396924,"Atlanta, GA",Spin,2021-05-17
47,33.759802,-84.391867,"Atlanta, GA",Spin,2021-05-17
48,33.759773,-84.391819,"Atlanta, GA",Spin,2021-05-17
49,33.759791,-84.391777,"Atlanta, GA",Spin,2021-05-17
50,33.759746,-84.391789,"Atlanta, GA",Spin,2021-05-17
51,33.761052,-84.391971,"Atlanta, GA",Spin,2021-05-17
