,0,1,2
0,Renville County,2.7,31215
1,Ransom County,4.6,33574
2,Hamilton County,2.2,29711
3,Warren County,4.0,26558
4,Fairfield County,1.2,21972
5,Dorado Municipio,4.0,15495
6,Dillingham Census Area,23.5,24647
7,Kenton County,1.8,30195
8,Humboldt County,1.6,29587
9,Wagoner County,0.5,27337
10,Schuyler County,3.3,23670
11,Bamberg County,3.8,19256
12,Turner County,4.8,27844
13,Rensselaer County,3.7,33067
14,Billings County,9.7,44683
15,Kings County,2.2,19835
16,Yamhill County,5.1,28540
17,Gilchrist County,1.1,21145
18,Armstrong County,2.3,31219
19,Baker County,5.3,25820
20,El Dorado County,2.0,38156
21,San Miguel County,3.6,18012
22,Guayanilla Municipio,2.9,8347
23,Miner County,4.4,28633
24,Pleasants County,0.9,24605
25,Spartanburg County,1.4,24786
26,Canyon County,1.7,19765
27,Stone County,2.1,21615
28,Ceiba Municipio,3.6,11840
29,Moultrie County,2.5,26166
30,Pike County,0.1,25176
31,Irwin County,0.3,19429
32,Corozal Municipio,1.1,7887
33,Fayette County,1.9,30405
34,Eddy County,1.4,28419
35,McNairy County,0.4,19745
36,Chase County,3.2,24469
37,Kemper County,2.6,15790
38,Grundy County,3.2,15824
39,Fort Bend County,0.5,38382
40,Burlington County,1.4,39528
41,Will County,0.7,33731
42,Tallapoosa County,0.9,22430
43,Fillmore County,4.4,28441
44,Val Verde County,3.0,20160
45,Hood River County,5.9,29595
46,Calhoun County,0.9,15927
47,Chatham County,2.5,28765
48,Copiah County,1.6,18756
49,Campbell County,0.7,26417
