Year,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2020,"Aberdeen, SD",.,.,.,.,.,.,.,.,.,15,5.6,75,21,.
2020,"Adrian, MI",.,.,.,.,0.07,0.067,.,.,.,19,8.2,.,.,.
2020,"Akron, OH",.,.,.,.,0.08,0.063,4,3,0,20,9.3,.,.,.
2020,"Albany, GA",.,.,.,.,.,.,.,.,.,28,10.4,.,.,.
2020,"Albany-Schenectady-Troy, NY",.,.,.,.,0.06,0.055,2,1,0,23,8.7,.,.,.
2020,"Albuquerque, NM",3.7,0.9,41,8,0.08,0.074,3,1,0,25,9.4,349,45,.
2020,"Alexandria, LA",.,.,.,.,.,.,.,.,.,18,7.3,.,.,.
2020,"Allentown-Bethlehem-Easton, PA-NJ",.,.,37,10,0.08,0.063,7,2,0,18,7.2,34,12,.
2020,"Altoona, PA",.,.,.,.,0.07,0.063,4,1,0,19,7.7,.,.,.
2020,"Amarillo, TX",.,.,.,.,0.07,0.064,94,17,2,15,5.5,.,.,.
2020,"Americus, GA",.,.,.,.,0.06,0.054,.,.,.,.,.,.,.,.
2020,"Anchorage, AK",4,3,.,.,.,.,.,.,.,24,5.9,77,14,.
2020,"Ann Arbor, MI",.,.,.,.,0.08,0.072,.,.,.,20,8.2,.,.,.
2020,"Appleton, WI",.,.,.,.,0.08,0.067,67,16,1,19,7.4,.,.,.
2020,"Ardmore, OK",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2020,"Arkadelphia, AR",.,.,.,.,0.06,0.052,.,.,.,.,.,.,.,.
2020,"Asheville, NC",.,.,.,.,0.07,0.06,22,9,1,12,5.7,.,.,.
2020,"Ashtabula, OH",.,.,.,.,0.08,0.061,.,.,.,.,.,.,.,.
2020,"Athens, TN",.,.,.,.,.,.,.,.,.,16,6.8,.,.,.
2020,"Athens-Clarke County, GA",.,.,.,.,0.06,0.056,.,.,.,20,8.4,.,.,.
2020,"Atlanta-Sandy Springs-Roswell, GA",2.2,1.8,42,16,0.08,0.066,3,2,1,25,9.5,68,17,.
2020,"Atlantic City-Hammonton, NJ",.,.,.,.,0.07,0.059,1,0,0,16,7,.,.,.
2020,"Augusta-Richmond County, GA-SC",.,.,.,.,0.07,0.056,58,8,1,23,10.7,39,11,.
2020,"Augusta-Waterville, ME",.,.,.,.,0.07,0.052,.,.,.,17,5.8,35,11,.
2020,"Austin-Round Rock, TX",2.2,1.6,43,12,0.07,0.063,.,.,.,23,9.6,91,24,.
2020,"Bakersfield, CA",1.6,1.4,53,13,0.13,0.101,.,.,.,144,22.5,236,59,.
2020,"Baltimore-Columbia-Towson, MD",2.1,1.5,48,14,0.09,0.069,5,2,0,23,7.6,32,12,.
2020,"Bangor, ME",.,.,.,.,0.06,0.056,.,.,.,12,4.6,38,12,.
2020,"Baraboo, WI",.,.,.,.,0.07,0.065,.,.,.,17,7.4,44,14,.
2020,"Barnstable Town, MA",.,.,.,.,0.08,0.063,.,.,.,.,.,.,.,.
2020,"Bartlesville, OK",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2020,"Baton Rouge, LA",1.2,0.8,40,7,0.09,0.069,37,12,1,22,8.6,62,19,0.01
2020,"Bay City, MI",.,.,.,.,.,.,.,.,.,14,4.7,.,.,.
2020,"Beaumont-Port Arthur, TX",.,.,29,5,0.09,0.065,47,14,1,24,8.7,.,.,.
2020,"Beaver Dam, WI",0.4,0.3,.,.,0.09,0.067,2,1,0,18,7.6,25,10,.
2020,"Bellingham, WA",.,.,.,.,0.07,0.05,62,19,2,42,5.6,.,.,.
2020,"Bemidji, MN",.,.,.,.,.,.,.,.,.,13,5.7,.,.,.
2020,"Bennington, VT",.,.,.,.,0.06,0.053,.,.,.,18,5.6,.,.,.
2020,"Berlin, NH-VT",.,.,.,.,0.06,0.058,.,.,.,.,.,.,.,.
2020,"Big Spring, TX",.,.,.,.,.,.,101,42,5,.,.,.,.,.
2020,"Billings, MT",.,.,.,.,.,.,18,4,1,27,7,.,.,.
2020,"Birmingham-Hoover, AL",1.8,1.3,44,11,0.08,0.062,37,9,1,25,10.1,83,26,.
2020,"Bishop, CA",2.1,1.4,.,.,0.1,0.072,1,0,0,124,11.8,526,37,.
2020,"Bismarck, ND",0.6,0.5,28,5,0.06,0.055,11,3,1,16,6.7,64,19,.
2020,"Blacksburg-Christiansburg-Radford, VA",.,.,.,.,.,.,144,35,5,.,.,.,.,0
2020,"Bloomington, IL",.,.,.,.,0.08,0.07,.,.,.,19,8.6,.,.,.
2020,"Bloomington, IN",.,.,.,.,0.07,0.064,.,.,.,19,7.5,.,.,.
2020,"Boise City, ID",2.5,1.5,43,10,0.08,0.065,2,1,0,49,10.6,142,27,.
2020,"Borger, TX",.,.,.,.,.,.,173,51,6,.,.,.,.,.
2020,"Boston-Cambridge-Newton, MA-NH",1.5,1.1,46,12,0.08,0.06,6,3,1,18,8.3,25,12,.
2020,"Boulder, CO",.,.,.,.,0.09,0.076,.,.,.,52,10.1,74,26,.
